course_id,course_name,instructor_id,platform,category,level,language,price,duration_hours,lecture_count,certificate_type,course_url,date_added
7a768555-a987-4218-bf84-faef5336723b,Heavy what least mouth national,db52ca58-0500-4bc6-b20d-cb6ef2311f17,Khan Academy,Web Development,Beginner,French,439.55,52.9,52,No Certificate,https://bernard.net/,2022-09-11
fb756923-f910-4bb3-b105-32523990e2c9,Side relate real,fb2ca025-adf4-462d-a651-529e8268690b,Skillshare,Cloud Computing,Advanced,French,305.23,59.2,88,,https://bailey-peck.com/,2022-08-09
8b0e8eb1-ad37-4d9e-92cf-60211f33242d,Time house generation significant,c241330b-01a9-471f-9e8a-774bcf36d58b,Khan Academy,Web Development,Advanced,English,468.53,8.9,19,Certificate,http://roberts.com/,2023-02-07
41a64fed-a7ed-48d8-b13f-8f8cec8be537,Degree still even no,e1e0fffc-98f6-4d7f-beb1-62f14806f804,Khan Academy,AI,Intermediate,French,301.81,43.3,31,,https://www.gilbert.com/,2022-03-21
87f255d6-e7ba-46ac-ab7a-3d1c0cfef683,Point appear including,fd034ada-c952-4185-81e0-3a5e8b48f496,edX,Cloud Computing,Intermediate,French,451.76,50.9,16,,https://www.townsend.com/,2023-08-14
e0decc3d-e172-4c83-af5e-4376a723fb72,Local current white fly,65bcc272-fadd-4ea3-aca5-e2fdb966442a,edX,Data Science,Beginner,French,384.79,38.6,38,Certificate,http://www.andrews.com/,2021-08-23
2d007d05-d66d-4627-a1da-ce6a6afa828c,Young however,4efc8248-e10b-4a47-bfae-b7487781321e,Skillshare,Cloud Computing,Advanced,German,279.89,7.6,93,Certificate,https://www.hayden.com/,2022-09-11
edaf3766-1b78-4ede-9a4f-fc0c9165f2ed,Expect writer myself management,c29d782b-2722-496e-9a36-d1ec2c6a6e9a,Coursera,Web Development,Advanced,Mandarin,73.9,8.5,44,No Certificate,http://lee-rodriguez.com/,2024-01-22
2faabe0b-b7f6-4cdf-81dc-1c60a5f60735,Say so,2369b584-ff5e-4ff0-bf50-bde4382567b8,edX,AI,Advanced,Spanish,332.8,21.9,76,No Certificate,http://www.chase.net/,2022-12-11
186b2880-ab54-4a15-a69d-01ff1634725b,Word local very,b231c60b-78f2-4e6b-946b-415deada79a3,Udemy,AI,Beginner,Spanish,439.83,2.5,99,No Certificate,http://young-molina.com/,2022-09-22
02ed73ce-92a8-4713-b90e-d44b951c25d5,President realize artist,70d9c9f8-c9e2-4074-8f16-39a00a17991e,Udemy,Web Development,Beginner,English,190.89,3.3,65,Certificate,http://moore-parks.com/,2021-02-25
4b87959f-f0cd-4f05-aa87-855ea38295d3,Pass despite card check,dc8aee30-be60-43f7-a8be-9288e5af6e39,Skillshare,Web Development,Intermediate,Spanish,111.24,39.9,56,No Certificate,https://dunn.com/,2022-04-05
df85c777-9887-4bfe-8136-9c65ae2ae341,Moment month,bd1531c8-3764-4bda-b108-d4482f65fafa,Coursera,Web Development,Intermediate,Mandarin,199.44,58.9,73,No Certificate,https://www.rodriguez.com/,2025-01-10
53ff8461-2a1f-4b61-a65c-b9d989628f6e,Kind quite response major together,af42e12f-3838-4326-8e94-4239b02b61c4,Coursera,Web Development,Beginner,Mandarin,480.3,16.7,18,,https://www.anderson-perry.org/,2020-08-24
ce920136-ac3a-412f-b65e-6cb58f0d5540,Rich how staff,0b9bd934-23c8-4d30-9dde-7969688613db,edX,Web Development,Intermediate,Mandarin,491.13,7.8,78,Certificate,http://www.henderson.com/,2024-10-04
e4eb8000-ef40-4162-8f6c-e9bffe7ee362,Worry line,eb6c1016-cee6-44d0-9dac-6e8345241ea6,Coursera,Business,Beginner,Mandarin,461.86,32.8,97,,https://mack.biz/,2023-05-05
72d35458-61ea-4f30-a42e-707afe2bd987,Heart radio product much,28e213bc-e6fd-47af-9d84-caccf6729464,Udemy,Web Development,Intermediate,English,473.49,55.3,84,No Certificate,https://www.haney.net/,2021-03-28
d5b6de85-3902-49d9-ba8d-ae42ba54e920,Series without,2e326567-d284-454e-bebe-c0db9a3a6103,Coursera,Web Development,Advanced,French,332.78,20.2,94,No Certificate,https://gray.com/,2022-07-02
